ID,MKKCode,MKKParentCode,MKKTanim,MKKSeviye
673,MKK,Root,DiA MKK Kırılımı,0
674,P01000000,MKK,İNŞAAT İŞLERİ,1
675,P01100000,P01000000,"Kırım, Yıkım ve demontaj işleri",2
676,P01101000,P01100000,Kırım işleri,3
677,P01101001,P01101000,Delme kesme ve imalat kırımları,4
678,P01101002,P01101000,Rezerve,4
679,P01102000,P01100000,Yıkım ve demontaj işleri (Saha hazırlık işleri),3
680,P01102001,P01102000,Yıkım işleri (saha dışına taşımalar dahil),4
681,P01102002,P01102000,Demontaj işleri (saha dışına taşımalar dahil),4
682,P01200000,P01000000,Toprak ve Zemin Güçlendirme İşleri,2
683,P01201000,P01200000,Kazı yapılması,3
684,P01201001,P01201000,"Makinalı Kazılar (Yumuşak Toprak, Kaya vs her türlü kazı işi)",4
685,P01201002,P01201000,Elle Kazılar,4
686,P01202000,P01200000,Dolgu işleri,3
687,P01202001,P01202000,Dolgu İşleri,4
688,P01203000,P01200000,Zemin güçlendirme,3
689,P01203001,P01203000,Jetgrout,4
690,P01203002,P01203000,Çakma Kazık,4
691,P01203003,P01203000,Fore Kazık,4
692,P01209900,P01200000,Diğer,3
693,P01209999,P01209900,Diğer Toprak İşleri,4
694,P01300000,P01000000,Betonarme İşleri,2
695,P01301000,P01300000,Taşıyıcı B/A Sistem (Karkas),3
696,P01301001,P01301000,Grobeton/harçlar,4
697,P01301002,P01301000,"Kalıp yapılması (Düz/eğri yüzeyli her tür kalıp, iskelesi dahil)",4
698,P01301003,P01301000,Betonarme Demiri (Nervürlü/Düz ve değişik çaplarla),4
699,P01301004,P01301000,"Yapısal Beton (Her tür ve sınıf ; katkıları, koruma önlemleri dahil)",4
700,P01301005,P01301000,Prekast Elemanlar,4
701,P01301099,P01301000,Diğer,4
702,P01400000,P01000000,Çelik ve Metal Konstrüksiyonlar,2
703,P01401000,P01400000,Yapısal çelik,3
704,P01401001,P01401000,Uzay kafes sistemler,4
705,P01401002,P01401000,Yapıda taşıyıcı çelik konstrüksiyon imalatlar,4
706,P01401003,P01401000,Cephede taşıyıcı çelik konstrüksiyon imalatlar,4
707,P01401099,P01401000,Diğer yapısal çelik işleri,4
708,P01402000,P01400000,Taşıyıcı olmayan metal konstrüksiyonlar,3
709,P01402001,P01402000,Taşıyıcı olmayan çelik işleri (kutu profil benzeri tüm elemanlardan imalatlar),4
710,P01402099,P01402000,Diğer ikincil çelik işleri,4
711,P01500000,P01000000,Dış Cephe İşleri,2
712,P01501000,P01500000,Dış cephe işleri,3
